naif_id    name
-750      ,sprint-a
-652      ,bepicolombo mtm
-550      ,mars96
-502      ,vstar
-500      ,rstar
-363      ,rbsp_b
-362      ,rbsp_a
-302      ,helios 2
-301      ,helios 1
-255      ,psyc
-254      ,mer-2
-253      ,mer-1
-248      ,venus express
-243      ,viper
-242      ,lunar trailblazer
-240      ,slim
-239      ,mmx
-238      ,smart-1
-236      ,messenger
-235      ,stereo behind
-234      ,stereo ahead
-228      ,galileo probe
-227      ,kepler
-226      ,rosetta
-214      ,stv53
-213      ,stv52
-212      ,stv51
-210      ,liciacube
-205      ,smap
-203      ,dawn
-202      ,maven
-200      ,contour
-198      ,nisar
-197      ,lara
-196      ,cluster 4
-194      ,cluster 3
-190      ,sim
-189      ,insight
-188      ,muses-b
-185      ,cluster 2
-183      ,cluster 1
-181      ,grail-b
-178      ,nozomi
-177      ,grail-a
-174      ,exomars rover
-173      ,exomars sp
-172      ,exomars scc
-170      ,james webb space telescope
-168      ,m2020
-166      ,image
-165      ,map
-164      ,lunar flashlight
-163      ,wise
-159      ,europa clipper
-156      ,adit
-155      ,korean pathfinder lunar orbiter
-154      ,aqua
-153      ,chandrayaan-2 lander
-152      ,chandrayaan-2 orbiter
-151      ,chandra
-150      ,casp
-148      ,dragonfly
-146      ,lunar-a
-144      ,solar orbiter
-143      ,exomars 2016 tgo
-142      ,eos-am1
-140      ,deep impact flyby spacecraft
-135      ,double asteroid redirection test
-131      ,kaguya
-130      ,hayabusa
-127      ,mco
-121      ,bepicolombo mpo
-119      ,mom2
-117      ,exomars 2016 edm
-116      ,mpl
-112      ,ice
-107      ,trmm
-98       ,new horizons
-97       ,topex/poseidon
-96       ,solar probe plus
-95       ,mgs simulation
-94       ,mars global surveyor
-93       ,near
-90       ,cassini simulation
-86       ,chandrayaan-1
-85       ,lunar reconnaissance orbiter
-84       ,phoenix
-82       ,cassini
-81       ,cassini itl
-79       ,sirtf
-78       ,giotto
-77       ,galileo orbiter
-76       ,mars science laboratory
-74       ,mars recon orbiter
-72       ,janus_b
-70       ,deep impact impactor spacecraft
-68       ,bepicolombo mmo
-67       ,vega 2
-66       ,marco-b
-65       ,marco-a
-64       ,osiris-rex
-62       ,emirates mars mission
-61       ,juno
-59       ,radioastron
-58       ,halca
-57       ,lunar icecube
-55       ,ulysses
-53       ,mars surveyor 01 orbiter
-49       ,lucy
-48       ,hst
-47       ,genesis
-46       ,sakigake
-45       ,janus_a
-44       ,beagle 2
-43       ,imap
-41       ,mars express
-40       ,clementine
-39       ,lunah-map
-37       ,hayabusa2
-33       ,neo surveyor
-32       ,voyager 2
-31       ,voyager 1
-30       ,ds-1
-29       ,next
-28       ,juice
-27       ,viking 1 orbiter
-25       ,lunar prospector
-24       ,pioneer-11
-23       ,pioneer-10
-21       ,soho
-20       ,pioneer-8
-18       ,lcross
-13       ,polar
-12       ,ladee
-8        ,wind
-7        ,pioneer-7
-6        ,pioneer-6
-5        ,planet-c
-3        ,mars orbiter mission
-1        ,geotail
0         ,solar system barycenter
1         ,mercury barycenter
2         ,venus barycenter
3         ,earth barycenter
4         ,mars barycenter
5         ,jupiter barycenter
6         ,saturn barycenter
7         ,uranus barycenter
8         ,neptune barycenter
9         ,pluto barycenter
10        ,sun
199       ,mercury
299       ,venus
301       ,moon
399       ,earth
401       ,phobos
402       ,deimos
499       ,mars
501       ,io
502       ,europa
503       ,ganymede
504       ,callisto
505       ,amalthea
506       ,himalia
507       ,elara
508       ,pasiphae
509       ,sinope
510       ,lysithea
511       ,carme
512       ,ananke
513       ,leda
514       ,thebe
515       ,adrastea
516       ,metis
517       ,callirrhoe
518       ,themisto
519       ,megaclite
520       ,taygete
521       ,chaldene
522       ,harpalyke
523       ,kalyke
524       ,iocaste
525       ,erinome
526       ,isonoe
527       ,praxidike
528       ,autonoe
529       ,thyone
530       ,hermippe
531       ,aitne
532       ,eurydome
533       ,euanthe
534       ,euporie
535       ,orthosie
536       ,sponde
537       ,kale
538       ,pasithee
539       ,hegemone
540       ,mneme
541       ,aoede
542       ,thelxinoe
543       ,arche
544       ,kallichore
545       ,helike
546       ,carpo
547       ,eukelade
548       ,cyllene
549       ,kore
550       ,herse
553       ,dia
599       ,jupiter
601       ,mimas
602       ,enceladus
603       ,tethys
604       ,dione
605       ,rhea
606       ,titan
607       ,hyperion
608       ,iapetus
609       ,phoebe
610       ,janus
611       ,epimetheus
612       ,helene
613       ,telesto
614       ,calypso
615       ,atlas
616       ,prometheus
617       ,pandora
618       ,pan
619       ,ymir
620       ,paaliaq
621       ,tarvos
622       ,ijiraq
623       ,suttungr
624       ,kiviuq
625       ,mundilfari
626       ,albiorix
627       ,skathi
628       ,erriapus
629       ,siarnaq
630       ,thrymr
631       ,narvi
632       ,methone
633       ,pallene
634       ,polydeuces
635       ,daphnis
636       ,aegir
637       ,bebhionn
638       ,bergelmir
639       ,bestla
640       ,farbauti
641       ,fenrir
642       ,fornjot
643       ,hati
644       ,hyrrokkin
645       ,kari
646       ,loge
647       ,skoll
648       ,surtur
649       ,anthe
650       ,jarnsaxa
651       ,greip
652       ,tarqeq
653       ,aegaeon
699       ,saturn
701       ,ariel
702       ,umbriel
703       ,titania
704       ,oberon
705       ,miranda
706       ,cordelia
707       ,ophelia
708       ,bianca
709       ,cressida
710       ,desdemona
711       ,juliet
712       ,portia
713       ,rosalind
714       ,belinda
715       ,puck
716       ,caliban
717       ,sycorax
718       ,prospero
719       ,setebos
720       ,stephano
721       ,trinculo
722       ,francisco
723       ,margaret
724       ,ferdinand
725       ,perdita
726       ,mab
727       ,cupid
799       ,uranus
801       ,triton
802       ,nereid
803       ,naiad
804       ,thalassa
805       ,despina
806       ,galatea
807       ,larissa
808       ,proteus
809       ,halimede
810       ,psamathe
811       ,sao
812       ,laomedeia
813       ,neso
899       ,neptune
901       ,charon
902       ,nix
903       ,hydra
904       ,kerberos
905       ,styx
999       ,pluto
398989    ,noto
398990    ,new norcia
399001    ,goldstone
399002    ,canberra
399003    ,madrid
399004    ,usuda
399005    ,parkes
399012    ,DSS-12
399013    ,DSS-13
399014    ,DSS-14
399015    ,DSS-15
399016    ,DSS-16
399017    ,DSS-17
399023    ,DSS-23
399024    ,DSS-24
399025    ,DSS-25
399026    ,DSS-26
399027    ,DSS-27
399028    ,DSS-28
399033    ,DSS-33
399034    ,DSS-34
399035    ,DSS-35
399036    ,DSS-36
399042    ,DSS-42
399043    ,DSS-43
399045    ,DSS-45
399046    ,DSS-46
399049    ,DSS-49
399053    ,DSS-53
399054    ,DSS-54
399055    ,DSS-55
399056    ,DSS-56
399061    ,DSS-61
399063    ,DSS-63
399064    ,DSS-64
399065    ,DSS-65
399066    ,DSS-66
399069    ,DSS-69
1000001   ,50P
1000002   ,49P
1000003   ,47P
1000004   ,85D
1000005   ,19P
1000006   ,140P
1000007   ,C/1984 A1
1000008   ,16P
1000009   ,23P
1000010   ,87P
1000011   ,101P
1000012   ,67P
1000013   ,108P
1000014   ,71P
1000015   ,32P
1000016   ,27P
1000017   ,6P
1000018   ,33P
1000019   ,54P
1000020   ,72P
1000021   ,66P
1000022   ,79P
1000023   ,57P
1000024   ,C/1921 H1
1000025   ,2P
1000026   ,4P
1000027   ,15P
1000028   ,37P
1000029   ,90P
1000030   ,78P
1000031   ,82P
1000032   ,21P
1000033   ,84P
1000034   ,26P
1000035   ,65P
1000036   ,1P
1000037   ,D/1978 R1
1000038   ,51P
1000039   ,52P
1000040   ,100P
1000041   ,103P
1000042   ,161P
1000043   ,35P
1000044   ,17P
1000045   ,45P
1000046   ,88P
1000047   ,126P
1000048   ,58P
1000049   ,48P
1000050   ,59P
1000051   ,68P
1000052   ,75D
1000053   ,70P
1000054   ,22P
1000055   ,99P
1000056   ,104P
1000057   ,143P
1000058   ,134P
1000059   ,77P
1000060   ,93P
1000061   ,96P
1000062   ,115P
1000063   ,28P
1000064   ,25D
1000065   ,42P
1000066   ,13P
1000067   ,80P
1000068   ,12P
1000069   ,7P
1000070   ,30P
1000071   ,44P
1000072   ,83D
1000073   ,89P
1000074   ,91P
1000075   ,94P
1000076   ,92P
1000077   ,24P
1000078   ,106P
1000079   ,29P
1000080   ,31P
1000081   ,73P-C
1000082   ,61P
1000083   ,102P
1000085   ,155P
1000086   ,105P
1000087   ,56P
1000088   ,74P
1000089   ,38P
1000090   ,64P
1000091   ,98P
1000092   ,69P
1000093   ,9P
1000094   ,10P
1000095   ,55P
1000097   ,62P
1000098   ,60P
1000099   ,8P
1000100   ,41P
1000101   ,40P
1000102   ,53P
1000103   ,271P
1000104   ,76P
1000105   ,36P
1000106   ,63P
1000107   ,81P
1000108   ,86P
1000109   ,46P
1000110   ,14P
1000111   ,43P
1000112   ,184P
1000113   ,112P
1000114   ,114P
1000115   ,151P
1000116   ,120P
1000117   ,128P-B
1000118   ,111P
1000119   ,110P
1000120   ,119P
1000121   ,117P
1000122   ,116P
1000123   ,131P
1000124   ,136P
1000125   ,192P
1000126   ,137P
1000127   ,127P
1000128   ,97P
1000129   ,C/1991 L3
1000131   ,C/1996 B2
1000132   ,C/1995 O1
1000133   ,132P
1000134   ,130P
1000135   ,145P
1000136   ,181P
1000137   ,138P
1000138   ,135P
1000139   ,149P
1000140   ,109P
1000141   ,121P
1000142   ,124P
1000144   ,18D
1000146   ,113P
1000147   ,147P
1000148   ,144P
1000149   ,173P
1000150   ,118P
1000151   ,199P
1000152   ,141P-A
1000153   ,318P
1000154   ,262P
1000155   ,C/1996 N1
1000156   ,122P
1000158   ,C/1996 J1-A
1000159   ,C/1996 J1-B
1000160   ,142P
1000161   ,270P
1000162   ,125P
1000163   ,C/1996 R1
1000164   ,123P
1000165   ,179P
1000166   ,269P
1000167   ,440P
1000168   ,P/1996 R2
1000169   ,200P
1000170   ,C/1997 J2
1000171   ,C/1997 G2
1000172   ,314P
1000173   ,C/1997 D1
1000174   ,C/1997 J1
1000175   ,C/1996 E1
1000176   ,C/1997 A1
1000177   ,39P
1000178   ,308P
1000179   ,C/1996 P2
1000180   ,129P
1000181   ,D/1993 F2-A
1000182   ,D/1993 F2-B
1000183   ,D/1993 F2-C
1000184   ,D/1993 F2-D
1000185   ,D/1993 F2-E
1000186   ,D/1993 F2-F
1000187   ,D/1993 F2-G
1000188   ,D/1993 F2-H
1000190   ,D/1993 F2-K
1000191   ,D/1993 F2-L
1000193   ,D/1993 F2-N
1000194   ,D/1993 F2-P1
1000195   ,D/1993 F2-P2
1000196   ,D/1993 F2-Q1
1000197   ,D/1993 F2-Q2
1000198   ,D/1993 F2-R
1000199   ,D/1993 F2-S
1000200   ,D/1993 F2-T
1000201   ,D/1993 F2-U
1000202   ,D/1993 F2-V
1000203   ,D/1993 F2-W
1000204   ,D/1977 C1
1000205   ,C/1997 BA6
1000206   ,C/1997 P2
1000207   ,C/1996 B1
1000208   ,C/1996 Q1
1000209   ,C/1997 N1
1000210   ,C/1997 O1
1000211   ,C/1997 T1
1000212   ,20D
1000213   ,C/1997 L1
1000214   ,C/1998 G1
1000215   ,C/1998 H1
1000216   ,C/1998 J1
1000217   ,C/1998 K1
1000218   ,C/1998 K3
1000219   ,C/1998 K5
1000220   ,C/1998 K2
1000221   ,C/1998 M1
1000222   ,C/1998 M2
1000223   ,C/1998 M3
1000224   ,C/1998 M5
1000225   ,C/1998 M6
1000226   ,C/1998 M4
1000227   ,C/1998 P1
1000228   ,C/1998 Q1
1000229   ,328P
1000230   ,C/1998 T1
1000231   ,188P
1000232   ,C/1998 U1
1000233   ,190P
1000234   ,290P
1000235   ,C/1998 U5
1000236   ,242P
1000238   ,139P
1000239   ,171P
1000240   ,168P
1000241   ,C/1998 W3
1000243   ,P/1998 VS24
1000244   ,198P
1000245   ,C/1998 Y1
1000246   ,292P
1000247   ,C/1999 A1
1000248   ,275P
1000249   ,C/1999 E1
1000250   ,C/1999 H1
1000251   ,C/1999 F1
1000252   ,C/1999 H3
1000253   ,183P
1000254   ,C/1999 J2
1000255   ,C/1999 J4
1000256   ,C/1999 K2
1000257   ,C/1999 K4
1000258   ,C/1999 K3
1000259   ,C/1999 K6
1000260   ,C/1999 K7
1000261   ,C/1999 F2
1000262   ,187P
1000263   ,C/1999 L2
1000264   ,C/1999 L3
1000265   ,C/1999 K5
1000266   ,C/1999 G1
1000267   ,C/1999 K8
1000268   ,C/1999 J3
1000269   ,C/1999 N4
1000270   ,C/1999 N2
1000271   ,P/1999 RO28
1000272   ,C/1999 S3
1000273   ,C/1999 S4
1000274   ,C/1999 S2
1000275   ,C/1999 T1
1000276   ,C/1999 T2
1000277   ,C/1999 U1
1000278   ,C/1999 T3
1000279   ,141P-D
1000280   ,241P
1000281   ,330P
1000282   ,C/1999 U4
1000283   ,178P
1000284   ,34D
1000285   ,128P-A
1000286   ,C/1999 Y1
1000287   ,C/1999 XS87
1000288   ,C/2000 A1
1000289   ,C/2000 B2
1000290   ,194P
1000291   ,175P
1000292   ,203P
1000293   ,C/2000 CT54
1000294   ,165P
1000295   ,239P
1000296   ,P/1999 XN120
1000297   ,C/2000 D2
1000298   ,252P
1000301   ,C/2000 H1
1000302   ,C/2000 G2
1000303   ,C/2000 J1
1000304   ,C/1983 H1
1000305   ,C/2000 K1
1000306   ,C/2000 K2
1000307   ,C/2000 O1
1000308   ,C/2000 OF8
1000309   ,P/2000 R2
1000310   ,352P
1000311   ,146P
1000313   ,C/2000 S3
1000314   ,381P
1000315   ,C/2000 SV74
1000316   ,C/2000 U5
1000317   ,196P
1000319   ,C/2000 W1
1000320   ,73P-B
1000321   ,C/2000 Y1
1000322   ,C/2000 WM1
1000323   ,244P
1000324   ,73P-E
1000325   ,C/2000 Y2
1000326   ,C/2001 A1
1000328   ,148P
1000329   ,C/2001 B1
1000330   ,C/2001 C1
